uuid,名称,封面图,内容摘要,url
2eba6c75-d178-5953-8b4b-6bfb5d1f8db7,《暴力幻想的出口：当愤怒不再投向他人或自己》,media/articles/violent_fantasy_outlet.png,脑海中挥之不去的暴力冲动并非意味着你是‘坏人’，而是被压抑愤怒的信号。通过‘无害化宣泄’和‘认知重构’，我们将愤怒转化为自我成长的动力，找到安全的疏导路径。  ,/api/articles/2eba6c75-d178-5953-8b4b-6bfb5d1f8db7/
2b076b4b-d6c6-58d6-b595-295f9a90a5a5,《双相波动中的稳压器：理解情绪周期的波动与自处》,media/articles/bipolar_mood_stabilizer.png,情绪的巅峰与谷底并非不可预测。本文通过介绍‘心情记录平衡法’和‘波动预警机制’，帮助双相障碍学生在剧烈的情绪过山车中寻找平衡点，建立稳估的支持系统。  (内容待,/api/articles/2b076b4b-d6c6-58d6-b595-295f9a90a5a5/
08fa0d1c-4626-50c3-9d19-cfc966a6fed7,《进食障碍背后的控制欲：如何建立健康的身体意象？》,media/articles/body_positivity_healing.png,节食与催吐往往是内心失控感的代偿。通过‘正念饮食’和‘身体镜像法’，我们将带你探寻进食行为背后的情绪黑洞，学习如何接纳不完美的身体，重获生活掌控感。  (内容待,/api/articles/08fa0d1c-4626-50c3-9d19-cfc966a6fed7/
db76b211-b46d-5acd-81bf-e74d6d9e62f3,《表白墙之下的脆弱：应对校园网暴的法律与心理手册》,media/articles/cyberbullying_protection.png,面对表白墙上的流言蜚语和恶意揣测，你并非无助。本文提供了一份详尽的维权路径：从证据收集、平台申诉到心理危机自救，全方位守护你的数字名誉权。  (内容待进一步编辑,/api/articles/db76b211-b46d-5acd-81bf-e74d6d9e62f3/
40abb5bf-e32b-5ebd-8099-ba2de769b6ec,《走出简历焦虑：从“零回复”到“面试通关”的求职心态》,media/articles/resume_anxiety_relief.png,投出的简历石沉大海？面对求职挫败，心态调整比修改简历更重要。文章揭秘了如何通过‘压力脱敏’和‘复盘思维’，在秋招的漫长马拉松中保持动力。  (内容待进一步编辑补,/api/articles/40abb5bf-e32b-5ebd-8099-ba2de769b6ec/
b6dead78-be7f-5181-b053-5671cc3088f0,《跨专业的孤独：如何在新领域快速建立学术自信？》,media/articles/cross_major_confidence.png,跨专业学生常面临“基础不牢”的自我怀疑。通过‘阶梯式学习法’和‘社群联结’，文章将教你如何将跨学科背景转化为竞争优势，逐步建立属于自己的学术护城河。  (内容待,/api/articles/b6dead78-be7f-5181-b053-5671cc3088f0/
8ed30313-dab5-521d-a41f-4252fb51fc7f,《导师沟通艺术：如何在科研压力下维护自身心理边界？》,media/articles/advisor_boundary_art.png,与导师的沟通不应只是任务汇报，更是个人权力的博弈与心理边界的维护。学习非暴力沟通技巧，在满足学术要求的同时，保护自己的心理健康，建立平衡的师生关系。  (内容待,/api/articles/8ed30313-dab5-521d-a41f-4252fb51fc7f/
d29212ec-78ed-548d-a121-3ec6a37da657,《绩点不是唯一：如何在评价多元化的校园中寻找自我价值》,media/articles/multi_eval_success.png,绩点焦虑是当代大学生的普遍困扰。本文旨在引导学生建立多元化的自我评价体系，从实践建议、人际交往和兴趣探索中发掘个人价值，跳出单一分数竞争的怪圈。  (内容待进一,/api/articles/d29212ec-78ed-548d-a121-3ec6a37da657/
625c3a5d-8264-51da-9454-4ac0cd11c189,《建立你的“安全岛”：高压力环境下的情绪调节冥想技术》,media/articles/emotional_island_meditation.png,在闹市中寻找宁静。通过引导想象建立一个只属于你的‘内在安全岛’，每当焦虑来袭，回到那里呼吸、安坐。即...  (内容待进一步编辑补全),/api/articles/625c3a5d-8264-51da-9454-4ac0cd11c189/
0866e4a7-03f1-5336-92e5-b2ae2e884398,《假如生命只剩下最后一天：通过积极想象克服自杀冲动》,media/articles/suicide_ideation_prevention.png,死是一件很容易的事，但生需要巨大的勇气。试着停下脚步，感受清晨的阳光或一杯热茶的温度。寻求支持，哪怕...  (内容待进一步编辑补全),/api/articles/0866e4a7-03f1-5336-92e5-b2ae2e884398/
d8bd4e97-ffb2-5e87-b539-253eca053dde,《长达一个月的严重失眠：躯体化症状背后的心理求救信号》,media/articles/chronic_insomnia_signals.png,失眠往往是焦虑的信使。不要只关注褪黑素，更要关注你睡不着时的自动化思维。通过睡眠限制疗法和正念冥想，...  (内容待进一步编辑补全),/api/articles/d8bd4e97-ffb2-5e87-b539-253eca053dde/
0b116bd2-95f1-5786-afe3-85e2f38e394f,《从自责到自残：阻断负面情绪循环的紧急干预策略》,media/articles/self_harm_intervention.png,极度的心理痛苦有时会寻求躯体痛苦作为出口。当你感到这种危险冲动时，请尝试用冰块紧握、冷水洗脸或大声尖...  (内容待进一步编辑补全),/api/articles/0b116bd2-95f1-5786-afe3-85e2f38e394f/
